optimizer,iteration,loss,accuracy
SGD,0,2.2099191622706096,0.1767
SGD,500,0.3397728617442058,0.9207
SGD,1000,0.16918269835067357,0.9384
SGD,1500,0.10685716192580923,0.9464
SGD,2000,0.13516878905494753,0.9519
SGD,2500,0.06904336566525371,0.9589
SGD,3000,0.04659807769068742,0.9608
SGD,3500,0.1663338681189319,0.9624
SGD,4000,0.024744723930776945,0.9659
SGD,4500,0.17562679921712782,0.9674
SGD,5000,0.03953240435776922,0.9674
SGD,5500,0.050055789904756294,0.9691
SGD,6000,0.0890322518112641,0.9697
SGD,6500,0.02324958794516652,0.97
SGD,7000,0.07025275201489521,0.9699
SGD,7500,0.031573342418911216,0.9711
SGD,8000,0.02707363843851195,0.9721
SGD,8500,0.024793306099146418,0.9706
SGD,9000,0.02289463827859747,0.9738
SGD,9500,0.08304977791746819,0.9739
SGD,10000,0.032791967922205026,0.9734
Momentum,0,2.2033063754713895,0.1497
Momentum,500,0.09463616838466686,0.9538
Momentum,1000,0.025234955281342515,0.9652
Momentum,1500,0.027457798926743646,0.9729
Momentum,2000,0.07897011268751838,0.9706
Momentum,2500,0.018679393379841955,0.9724
Momentum,3000,0.01277401303546225,0.9767
Momentum,3500,0.013429605865793608,0.9761
Momentum,4000,0.06570628329707241,0.9776
Momentum,4500,0.01610506777985676,0.9782
Momentum,5000,0.06599936533630689,0.9743
Momentum,5500,0.07316500098016268,0.9777
Momentum,6000,0.015044889801276645,0.98
Momentum,6500,0.01195796077680934,0.9775
Momentum,7000,0.009592966114111843,0.98
Momentum,7500,0.01052218880424857,0.9793
Momentum,8000,0.003027529973046531,0.9772
Momentum,8500,0.006025778949050467,0.9801
Momentum,9000,0.0017713650415980148,0.9785
Momentum,9500,0.002926123204322902,0.9791
Momentum,10000,0.0014012897533592916,0.9803
Adam,0,2.3182952899998064,0.1527
Adam,500,0.134041084603015,0.935
Adam,1000,0.053779778017843484,0.9527
Adam,1500,0.1519244472067057,0.9612
Adam,2000,0.19178452724278633,0.9666
Adam,2500,0.10507315530228248,0.969
Adam,3000,0.06773025658321213,0.971
Adam,3500,0.0462827178266151,0.9719
Adam,4000,0.06252267666202992,0.9738
Adam,4500,0.030288515589669402,0.9747
Adam,5000,0.04719395350324711,0.9719
Adam,5500,0.044708092657024745,0.9764
Adam,6000,0.012722050145374933,0.9768
Adam,6500,0.015324285764947257,0.9771
Adam,7000,0.012330491065643384,0.9773
Adam,7500,0.040205870982989486,0.9777
Adam,8000,0.017937382746501862,0.977
Adam,8500,0.004552565564176439,0.9776
Adam,9000,0.014875030321991644,0.9795
Adam,9500,0.008265548133398045,0.9789
Adam,10000,0.006003514971029492,0.975
