iteration,loss,accuracy
0,2.1129704,0.1998
500,0.026397863,0.9764
1000,0.002349433,0.9799
1500,0.001172087,0.9828
2000,0.00027071883,0.9833
2500,0.00017134004,0.9839
3000,6.63588e-05,0.9841
3500,0.0001738671,0.9841
4000,0.00014655667,0.9838
4500,6.837193e-05,0.984
5000,5.2924956e-05,0.9842
5500,6.116275e-05,0.9837
6000,6.165781e-05,0.9838
6500,3.8489892e-05,0.9838
7000,3.171405e-05,0.9839
7500,4.5001932e-05,0.9836
8000,5.2511576e-05,0.9838
8500,3.1977615e-05,0.9836
9000,4.4037504e-05,0.9838
9500,4.077895e-05,0.9835
10000,3.92363e-05,0.9836
10500,1.4179901e-05,0.9835
11000,2.7272186e-05,0.9838
11500,3.5617326e-05,0.9835
12000,3.45732e-05,0.9837
12500,1.4791729e-05,0.9837
13000,3.6664616e-05,0.9834
13500,1.6537662e-05,0.9837
14000,1.4805496e-05,0.9837
14500,3.1278887e-05,0.9834
15000,1.4711121e-05,0.9834
15500,2.0776615e-05,0.9835
16000,1.3726417e-05,0.9835
16500,1.517817e-05,0.9836
17000,1.835679e-05,0.9833
17500,1.4704942e-05,0.9835
18000,2.1234975e-05,0.9833
18500,9.981623e-06,0.9835
19000,1.2223492e-05,0.9834
19500,1.7901417e-05,0.9833
20000,1.1155987e-05,0.9834
