iteration,loss,accuracy
0,2.2151098,0.1411
500,0.16451713,0.9674
1000,0.06449549,0.9789
1500,0.07319906,0.9814
2000,0.07913912,0.9842
2500,0.023624372,0.9854
3000,0.052552015,0.9855
3500,0.019546753,0.9857
4000,0.023475993,0.9863
4500,0.0081013255,0.9885
5000,0.022608414,0.9858
5500,0.036867447,0.987
6000,0.01806892,0.9872
6500,0.016765026,0.9876
7000,0.016113464,0.9877
7500,0.00919528,0.9888
8000,0.024852745,0.9895
8500,0.020929854,0.9877
9000,0.025873577,0.9898
9500,0.012685363,0.989
10000,0.012386233,0.9892
10500,0.022209,0.9892
11000,0.024039889,0.9878
11500,0.014530828,0.9908
12000,0.022538368,0.99
12500,0.010592702,0.9903
13000,0.009694582,0.9901
13500,0.0025107232,0.9903
14000,0.019306146,0.989
14500,0.009306464,0.9896
15000,0.005794918,0.9895
15500,0.010866961,0.9902
16000,0.0039389413,0.9891
16500,0.0005316758,0.9902
17000,0.0028062426,0.9903
17500,0.006936742,0.99
18000,0.0073491847,0.9901
18500,0.0046834555,0.9902
19000,0.0016880735,0.9908
19500,0.0048707724,0.99
20000,0.0040582926,0.9896
