batch_size,iteration,loss,accuracy
ten_batch,0,1.6084533005464738,0.1667
ten_batch,500,0.6550729083974088,0.7554
ten_batch,1000,0.31283931379836083,0.641
ten_batch,1500,0.47312920655593604,0.7535
ten_batch,2000,1.1548111440607454,0.7194
ten_batch,2500,0.7208333971014487,0.7071
ten_batch,3000,0.9983765785747323,0.587
ten_batch,3500,0.5279692122599112,0.5253
ten_batch,4000,0.5210806844308029,0.6784
ten_batch,4500,0.7516610123027678,0.6671
ten_batch,5000,2.6734746903923705,0.5656
ten_batch,5500,0.504956032244705,0.6268
ten_batch,6000,0.8573442475854705,0.6914
ten_batch,6500,1.5739215643324669,0.6881
ten_batch,7000,1.1532560645543872,0.718
ten_batch,7500,0.5311563241422281,0.6913
ten_batch,8000,0.9290974282288603,0.5941
ten_batch,8500,1.3025639050367912,0.5928
ten_batch,9000,1.4759971863829737,0.5192
ten_batch,9500,1.8647878875133046,0.5713
ten_batch,10000,0.6437170132446542,0.4652
hundred_batch,0,2.232271977985702,0.1163
hundred_batch,500,0.09987932782874276,0.9527
hundred_batch,1000,0.04929784568042425,0.9666
hundred_batch,1500,0.05423501124496421,0.9717
hundred_batch,2000,0.05055843476773946,0.9747
hundred_batch,2500,0.03903877000091733,0.9744
hundred_batch,3000,0.0029294456347694364,0.9741
hundred_batch,3500,0.028261499536837906,0.974
hundred_batch,4000,0.016373300629027726,0.973
hundred_batch,4500,0.023423653016775042,0.978
hundred_batch,5000,0.008965656306288016,0.9769
hundred_batch,5500,0.03815052063814507,0.9768
hundred_batch,6000,0.018871211959601463,0.9757
hundred_batch,6500,0.0046104855682455185,0.9784
hundred_batch,7000,0.005076473413427502,0.9768
hundred_batch,7500,0.011838280207622651,0.9783
hundred_batch,8000,0.002272440371369466,0.9775
hundred_batch,8500,0.024880245714683374,0.9788
hundred_batch,9000,0.0032404963848870583,0.9754
hundred_batch,9500,0.0013242368270653688,0.98
hundred_batch,10000,0.0019742168676760673,0.98
thousand_batch,0,2.2642480218323224,0.139
thousand_batch,500,0.08666928170985821,0.9685
thousand_batch,1000,0.05181528943630814,0.9738
thousand_batch,1500,0.02805990443757026,0.975
thousand_batch,2000,0.020774621236538043,0.9777
thousand_batch,2500,0.013859438754030897,0.9769
thousand_batch,3000,0.012009854153587131,0.977
thousand_batch,3500,0.011967256483238466,0.9768
thousand_batch,4000,0.006007864254998935,0.9769
thousand_batch,4500,0.005256800762947323,0.9772
thousand_batch,5000,0.00451448153549699,0.9779
thousand_batch,5500,0.004188508414793943,0.9774
thousand_batch,6000,0.002795306714478348,0.9774
thousand_batch,6500,0.0025395717475627366,0.9779
thousand_batch,7000,0.002465066312067258,0.9776
thousand_batch,7500,0.0019420936644986436,0.9781
thousand_batch,8000,0.0017422064892766566,0.9775
thousand_batch,8500,0.0017094930376898984,0.9779
thousand_batch,9000,0.0015596863672248345,0.9784
thousand_batch,9500,0.0015669676946175014,0.9782
thousand_batch,10000,0.0014888866595567211,0.9781
