Width/Depth,iteration,loss,accuracy
shallow_784_300_10,0,2.221424131152351,0.1462
shallow_784_300_10,500,0.08706568421902547,0.9558
shallow_784_300_10,1000,0.13554269152372014,0.9631
shallow_784_300_10,1500,0.04317993578364201,0.9672
shallow_784_300_10,2000,0.031110696109056514,0.9696
shallow_784_300_10,2500,0.03437506555222708,0.9728
shallow_784_300_10,3000,0.014926129769597077,0.9732
shallow_784_300_10,3500,0.059037403368054735,0.9749
shallow_784_300_10,4000,0.013024436172242826,0.9717
shallow_784_300_10,4500,0.005485596074527295,0.976
shallow_784_300_10,5000,0.003335870817508798,0.9782
shallow_784_300_10,5500,0.012684082941169916,0.975
shallow_784_300_10,6000,0.010525246690724532,0.9748
shallow_784_300_10,6500,0.02901633628432403,0.9777
shallow_784_300_10,7000,0.0015294554996838417,0.9764
shallow_784_300_10,7500,0.002865505124717933,0.9769
shallow_784_300_10,8000,0.014494379939232901,0.977
shallow_784_300_10,8500,0.0017932918851119401,0.9785
shallow_784_300_10,9000,0.006671374130505789,0.9781
shallow_784_300_10,9500,0.004151819138620705,0.9785
shallow_784_300_10,10000,0.00025709326259007584,0.9769
deep_784_190_190_190_10,0,2.1417571445058963,0.1994
deep_784_190_190_190_10,500,0.2116201941193089,0.9582
deep_784_190_190_190_10,1000,0.05595919617361518,0.9707
deep_784_190_190_190_10,1500,0.015683692710617095,0.9706
deep_784_190_190_190_10,2000,0.06076320308150454,0.971
deep_784_190_190_190_10,2500,0.02670509910257485,0.9732
deep_784_190_190_190_10,3000,0.07751873276691183,0.974
deep_784_190_190_190_10,3500,0.03493719025705235,0.9688
deep_784_190_190_190_10,4000,0.007941973573889101,0.9782
deep_784_190_190_190_10,4500,0.024858852243248162,0.9776
deep_784_190_190_190_10,5000,0.0072912130997822315,0.978
deep_784_190_190_190_10,5500,0.005465546995097741,0.9777
deep_784_190_190_190_10,6000,0.0020422003439288516,0.9789
deep_784_190_190_190_10,6500,0.010029310622477895,0.977
deep_784_190_190_190_10,7000,0.005372413988297908,0.9789
deep_784_190_190_190_10,7500,0.0021416162501909962,0.979
deep_784_190_190_190_10,8000,0.0074476643677074674,0.981
deep_784_190_190_190_10,8500,0.0027994756577337594,0.9798
deep_784_190_190_190_10,9000,0.002602737963387269,0.98
deep_784_190_190_190_10,9500,0.0034141143411904116,0.9791
deep_784_190_190_190_10,10000,0.0007477188707239919,0.9817
